bad_trigram,V2,valididty,sentiment
worth the time,5,valid,between
one of the,183,valid,between
hilarious not sure,5,valid,between
really looking forward,5,valid,between
its best to,6,valid,between
surprisingly better than,6,valid,between
how on earth,6,valid,between
movie you cant,7,valid,between
jokes are just,7,valid,between
funny worth seeing,7,valid,between
great but not,7,valid,between
is no different,7,valid,between
as a surprise,7,valid,between
an above average,7,valid,between
a few moments,7,valid,between
better than expected,7,valid,between
a mildly entertaining,7,valid,between
a different direction,7,valid,between
an entertaining movie,7,valid,between
some really funny,7,valid,between
its actually funny,7,valid,between
what i expected,7,valid,between
not bad but,7,valid,between
a much better,7,valid,between
a little predictable,7,valid,between
i didnt hate,7,valid,between
lot more depth,7,valid,between
wont make you,7,valid,between
will likely enjoy,7,valid,between
i was surprised,7,valid,between
moments but is,7,valid,between
funny at times,7,valid,between
wasnt as funny,7,valid,between
funnier than i,7,valid,between
occasional laughs and,7,valid,between
it was worth,7,valid,between
the very least,8,valid,between
better than it,8,valid,between
it ends up,8,valid,between
entertaining movie that,8,valid,between
with potential and,8,valid,between
script is somewhat,8,valid,between
worth watching and,8,valid,between
gets lost in,8,valid,between
i never saw,8,valid,between
movie did not,8,valid,between
feels like it,8,valid,between
was a decent,8,valid,between
most definitely not,8,valid,between
feel like i,8,valid,between
worth a look,8,valid,between
twist that few,8,valid,between
me laugh out,8,valid,between
works because of,8,valid,between
trying to impress,8,valid,between
go watch the,8,valid,between
stood out i,8,valid,between
was a little,8,valid,between
had some fun,8,valid,between
more interesting than,8,valid,between
funny but not,8,valid,between
at times the,8,valid,between
but the script,8,valid,between
they should have,8,valid,between
the best part,8,valid,between
is probably better,8,valid,between
film in general,8,valid,between
its not terrible,8,valid,between
chemistry between the,8,valid,between
the film doesnt,8,valid,between
not all bad,8,valid,between
i really hoped,8,valid,between
lot better than,8,valid,between
some funny scenes,8,valid,between
provides enough laughs,8,valid,between
probably better than,8,valid,between
be much better,8,valid,between
the exception of,8,valid,between
but the audience,8,valid,between
worth a watch,8,valid,between
expect it to,8,valid,between
its worth a,8,valid,between
oscar worthy but,8,valid,between
could have been,46,valid,between
had some good,8,valid,between
good but not,8,valid,between
wasnt all that,8,valid,between
wasnt the worst,8,valid,between
however if you,8,valid,between
the only bright,8,valid,between
not only does,8,valid,between
just not as,8,valid,between
better movie than,8,valid,between
whether or not,8,valid,between
was pleasantly surprised,8,valid,between
at least they,8,valid,between
it worth watching,8,valid,between
a decent job,8,valid,between
intriguing premise and,8,valid,between
and a decent,8,valid,between
you dont really,8,valid,between
definitely worth a,8,valid,between
definitely not a,8,valid,between
isnt the worst,8,valid,between
worth a rent,8,valid,between
takes an interesting,8,valid,between
better than youd,8,valid,between
just funny enough,8,valid,between
really funny parts,8,valid,between
if youre looking,10,valid,between
not that bad,11,valid,between
is funny but,11,valid,between
some moments of,11,valid,between
some funny parts,11,valid,between
sure why this,11,valid,between
good for a,11,valid,between
mildly entertaining but,11,valid,between
is much better,12,valid,between
promising premise but,12,valid,between
is better than,12,valid,between
better than the,39,valid,between
not as bad,12,valid,between
a decent movie,12,valid,between
not terrible but,12,valid,between
a happy ending,12,valid,between
does have some,12,valid,between
few laughs but,12,valid,between
good but i,12,valid,between
far better than,12,valid,between
some good moments,12,valid,between
a better movie,12,valid,between
it was okay,12,valid,between
has its moments,14,valid,between
i was hoping,15,valid,between
funny enough to,15,valid,between
i have never,15,valid,between
a little too,16,valid,between
much better than,19,valid,between
a few good,19,valid,between
movie is not,23,valid,between
better than i,34,valid,between
